Date,Client,CampaignSegment,Calls,Contacts,Leads,Denom,ListSize,AvgSTLsec,PayrollHours,SalesOpp
2026-08-21,A1G,STL,113,10,6,,11611,,,2
2026-08-21,OHS,FP5,877,65,19,,7014,,,0
2026-08-21,OHS,PROB ENROLL,2,1,0,,2076,,,
2026-08-21,SE,ACTIVE,6333,436,58,,38826,,,3
2026-08-21,SE,RENEW,1,0,0,,1469,,,
2026-08-22,A1G,STL,13,1,1,,11611,,,0
2026-08-22,SE,ACTIVE,532,52,4,,38815,,,0
2026-08-24,A1G,STL,115,10,6,,5917,,,4
2026-08-24,A1G,PRIORITY,23006,503,24,,207337,,,3
2026-08-24,ABC,INACTIVE,2232,99,13,,3080,,,1
2026-08-24,HAIL,COMMERCIAL,148,45,2,,3175,,,
2026-08-24,OTHER,OTHER,3096,198,10,,5502,,,5
2026-08-24,SE,ACTIVE,3531,282,42,,13356,,,5
2026-08-24,HAIL,RESIDENTIAL,9721,142,11,,54827,,,
2026-08-24,SE,RENEW,242,19,7,,263,,,1
2026-08-24,OHS,FP5,1079,74,19,,1426,,,
2026-08-24,OTHER,ACTIVE,363,35,5,,627,,,
2026-08-24,OTHER,INACTIVE,344,17,0,,404,,,
2026-08-25,A1G,PRIORITY,17311,412,24,,309665,,,2
2026-08-25,A1G,STL,77,12,11,,4872,,,6
2026-08-25,ABC,INACTIVE,380,17,0,,3080,,,
2026-08-25,HAIL,COMMERCIAL,290,54,0,,3789,,,
2026-08-25,HAIL,RESIDENTIAL,7819,81,9,,53179,,,
2026-08-25,OTHER,OTHER,3678,279,23,,7030,,,
2026-08-25,OTHER,ACTIVE,849,100,10,,2808,,,
2026-08-25,SE,ACTIVE,4972,268,32,,16144,,,3
2026-08-25,SE,RENEW,340,22,5,,357,,,1
2026-08-25,OHS,FP5,202,16,6,,1782,,,
2026-08-25,OHS,PROB ENROLL,704,78,25,,983,,,
2026-08-25,OTHER,INACTIVE,2,0,0,,404,,,
2026-08-26,A1G,PRIORITY,20184,458,22,,168355,,,4
2026-08-26,A1G,STL,47,5,4,,5762,,,2
2026-08-26,ABC,ACTIVE,2886,100,30,,2760,,,2
2026-08-26,HAIL,COMMERCIAL,255,52,1,,3554,,,
2026-08-26,OTHER,OTHER,1751,127,14,,8117,,,2
2026-08-26,SE,ACTIVE,7391,355,31,,12765,,,1
2026-08-26,HAIL,RESIDENTIAL,6932,75,11,,37675,,,
2026-08-26,SE,RENEW,176,12,2,,292,,,
2026-08-26,OTHER,ACTIVE,1521,149,8,,2419,,,1
2026-08-26,OTHER,INACTIVE,952,33,4,,955,,,
2026-08-26,OHS,FP5,502,33,14,,2186,,,
2026-08-26,OHS,PROB ENROLL,465,64,19,,1275,,,
